127.0.0.1 - - [10/Jun/2020:09:43:07 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:58:39 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:58:39 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:58:41 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 190295
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:58:46 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 433572
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:58:56 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 16113
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:59:10 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 289759
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:59:12 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 190309
0:0:0:0:0:0:0:1 - - [10/Jun/2020:10:59:19 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 433581
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma?detail=8ae4a8be727ec36201727eccec400001 HTTP/1.1" 200 14101
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:24 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:26 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 433544
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 16057
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:02:39 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 289759
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:29 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:29 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:29 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:29 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma HTTP/1.1" 200 8087
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:31 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:38 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma HTTP/1.1" 200 14061
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [10/Jun/2020:11:03:39 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
