0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:04:08 +0100] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-icons_454545_256x240.png HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:05:07 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 178784
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:05:12 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 401640
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:05:22 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 114276
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:05:22 +0100] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:05:45 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3171
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:06:13 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 411242
192.168.2.150 - - [10/Feb/2021:17:08:11 +0100] "GET / HTTP/1.1" 404 951
192.168.2.150 - - [10/Feb/2021:17:08:11 +0100] "GET /HNAP1/ HTTP/1.1" 404 963
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:12:23 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:12:24 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:12:25 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:12:49 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 114277
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:12:55 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:28:22 +0100] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:28:23 +0100] "GET /ProgrammaBiennale2020/m/Gdl113 HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [10/Feb/2021:17:28:23 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
